No,Title,Author,SamuraiLink,PublicationMedia,PublicationDate,DOI
1,元素戦略における永久磁石材料,"宝野和博, 広沢哲","宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono","まぐね／Magnetics Jpn.Vol7,No.6,2012",2012/10/31 0:00,
2,Nd2Fe14B/FeCo Anisotropic Nanocomposite Films with a Large Maximum Energy Product,"Wei-Bin Cui, Yukiko K.Takahashi, Kazuhiro Hono",,Advanced Materials 24 48 6530(2012),2012/10/26 0:00,10.1002/adma.201202328
3,スピントロニクスの基礎　磁気の直感的理解をめざして,"宮﨑 照宣, 土浦 宏紀",,"書籍（森北出版）, 2013",2013/3/28 0:00,
4,Magnetic Reversal Observation in Nano-Crystalline Nd-Fe-B Magnet by SANS,"M. Yano, K. Ono, A.Manabe, N.Miyamoto, T.Shoji, A.Kato, Y.Kaneko, M.Harada, H.Nozaki, J. Kohlbrecher",,"IEEE Transactions on Magnetics,巻48, 号11, ページ2804-2807, 2012",2012/11/1 0:00,10.1109/TMAG.2012.2206574
5,希土類磁石の省重希土類元素ならびに省希土類元素組成化技術,広沢　哲,,"日本学術振興会第１３３委員会５０周年記念誌 1 [1] 141-146, 2013",2013/6/1 0:00,
6,磁気工学の解析法,三俣千春,,"共立出版, 2013",2013/9/15 0:00,
7,The mechanism of coercivity enhancement by the grain boundary diffusion process of Nd–Fe–B sintered magnets,"H.Sepehri-Amin, T.Ohkubo, K.Hono","K.Hono,https://samurai.nims.go.jp/profiles/kazuhiro_hono","Acta Materialia, Volume 61, Issue 6, Pages 1982–1990, 2013",2013/4/1 0:00,10.1016/j.actamat.2012.12.018
8,磁性材料拠点が目指すもの-解析・評価の役割と期待,宝野和博,"宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono","日本分析化学会会報「ぶんせき」2013年5月号, 278-281頁",2013/5/1 0:00,
9,High-coercivity Nd–Fe–B thick films without heavy rare earth additions,"N.M.Dempsey, T.G.Woodcock, H.Sepehri-Amin, Y.Zhang, H.Kennedy, D.Givord, K.Hono, O.Gutfleisch",,"Acta Materialia, Volume 61, Issue 13, Pages 4920–4927, 2013",2013/8/1 0:00,10.1016/j.actamat.2013.04.055
10,Effect of Nd content on the microstructure and coercivity of hot-deformed Nd-Fe-B permanent magnets,"J.Liu, H.Sepehri-Amin, T.Ohkubo, K.Hioki, A.Hattori, T.Schrefl, K.Hono",,"Acta Materialia, Volume 61, Issue 14, Pages 5387–5399, 2013",2013/8/1 0:00,10.1016/j.actamat.2013.05.027
11,Enhancement of coercivity of hot-deformed Nd–Fe–B anisotropic magnet by low-temperature grain boundary diffusion of Nd60Dy20Cu20 eutectic alloy,"H.Sepehri-Amin, J.Liua, T.Ohkubo, K.Hioki, A.Hattori, K.Hono",,"Scripta Materialia, Volume 69, Issue 9, Pages 647–650, 2013",2013/11/1 0:00,10.1016/j.scriptamat.2013.07.011
12,High-coercivity ultrafine-grained anisotropic Nd-Fe-B magnets processed by hot deformation and the Nd-Cu grain boundary diffusion process,"H.Sepehri-Amin, T.Ohkubo, S.Nagashima, M.Yano, T.Shoji, A.Kato, T.Schrefl, K.Hono",,"Acta Materialia, Volume 61, Issue 17, Pages 6622–6634, 2013",2013/10/1 0:00,10.1016/j.actamat.2013.07.049
13,次世代永久磁石材料をめざしてー磁石材料の微細構造と保磁力,宝野和博,"宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono",日本金属学会セミナーテキスト（2013年12月26日開催）,2013/12/1 0:00,
14,Magnetic and structural properties of MnBi multilayered thin films,"T.Hozumi, P.LeClair, G.Mankey, C.Mewes, H.Sepehri-Amin, K.Hono, T.Suzuki",,"Journal of Applied Physics, Volume 115, Issue 17, Pages 17A737, 2014",2014/2/1 0:00,10.1063/1.4867127
15,High-coercivity hot-deformed Nd-Fe-B permanent magnets processed by Nd-Cu eutectic diffusion under expansion constraint,"T.Akiya, J.Liu, H.Sepehri-Amin, T.Ohkubo, K.Hioki, A.Hattori, K.Hono",,"Scripta Mater. 81, pp.48-51, 2014",2014/3/1 0:00,10.1016/j.scriptamat.2014.03.002
16,Magnetocrystalline anisotropy of the Fe-sublattice in Y2Fe14B systems,"Y. Miura, H. Tsuchiura, T. Yoshioka",,"Journal of Applid Physics, 巻115, 号17, 記事番号17A765, 2014",2014/3/20 0:00,10.1063/1.4869061
17,Magnetization Damping of an L10-FeNi Thin Film with Perpendicular Magnetic Anisotropy,"M.Ogiwara, S.Iihama, T.Seki, T.Kojima, S.Mizukami, M.Mizuguchi, K.Takanashi",,"Applied Physics Letters 103, 242409 (2013)　　　　　　　",2013/12/16 0:00,10.1063/1.4845035
18,Second-order Perturbation Formula for Magnetocrystalline Anisotropy using Orbital Angular Momentum Matrix,"TaichiKosugi, TakashiMiyake, ShojiIshibashi",,"JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN. 83, 044707 (2014)",2014/3/17 0:00,10.7566/JPSJ.83.044707
19,"First-Principles Study of Magnetocrystalline Anisotropy and Magnetization in NdFe12, NdFe11Ti, and NdFe11TiN","TakashiMiyake, KiyoyukiTerakura, YosukeHarashima, HioriKino, ShojiIshibashi",,"JOURNAL OF THE PHYSICAL SOCIETY OF JAPAN. 83, 043702 (2014)",2014/3/5 0:00,10.7566/JPSJ.83.043702
20,Complex magnetic phase diagram of a geometrically frustrated Sm Lattice:Magnetometry and neutron diffraction study of SmPd2Al3,"J.Pospisil, G.Nenert, S.Miyashita, H.Kitazawa, Y.Skouski, M.Divis, J.Prokleska, V.Sechovsky",,"Physical Review B 87,214405, 2013",2013/6/1 0:00,10.1103/PhysRevB.87.214405
21,Effect of the short-range interaction on critical phenomena in elastic interaction systems,"M.Nishino, S.Miyashita",,"Physical Review B 88,014108, 2013",2013/7/1 0:00,10.1103/PhysRevB.88.014108
22,Nonadditivity in Quasiequilibrium States of Spin Systems with Lattice Distortion,T.Mori,,"Physical Review Letters,111,020601, 2013",2013/7/1 0:00,10.1103/PhysRevLett.111.020601
23,Crossover of the roughness exponent for interface growth in sysytems with long-range interactions due to lattice distortion,"M.Nishino, T.Nakada, C.Enachescu, K.Boukheddaden, S.Miyashita",,"Physical Review B 88,094303, 2013",2013/9/1 0:00,10.1103/PhysRevB.88.094303
24,Improved tetrahedron method for the Brillouin-zone integration applicable to response functions,"M.Kawamura, Y.Gohda, S.Tsuneyuki",,"PHYSICAL REVIEW B, 巻‏89, 号‏9, 記事番号09451, 2014",2014/3/14 0:00,10.1103/PhysRevB.89.094515
25,Single crystal structure analysis of a single Sm2Fe17N3 particle,"N.Inami, Y.Takeichi, T.Ueno, K.Saito, R.Sagayama, R.Kumai, K.Ono",,"JOURNAL OF APPLIED PHYSICS, 115, 17A712 (2014)",2014/1/1 0:00,10.1063/1.4862939
26,Observation of spin-wave dispersion in Nd-Fe-B magnets using neutron Brillouin scattering,"K.Ono, N.Inami, K.Saito, Y.Takeichi, M.Yano, T.Shoji, A.Manabe, A.Kato, Y.Kaneko, D.Kawana, T.Yokoo, S.Itoh",,"JOURNAL OF APPLIED PHYSICS, 115, 17A714 (2014)",2014/1/1 0:00,10.1063/1.4863380
27,Neutron Brillouin Scattering Experiments with Pulsed Neutrons on High Resolution Chopper Spectrometer HRC,"S Itoh, T Yokoo, D Kawana, Y Kaneko, Y Tokura, M Fujita, K Yoshida, K Saito, N Inami, Y Takeichi, K Ono, Y Endoh",,"Journal of Physics: Conference Series 502, UNSP 012043 (2014)",2014/2/1 0:00,10.1088/1742-6596/502/1/012043
28,Micromanipulation and Pick-Up System for X-Ray Diffraction Characterization of Micrometer-Sized Single Particles,"Y Takeichi, N Inami, T Ueno, K Saito, H Otori, R Sagayama, R Kumai, K Ono",,"Journal of Physics: Conference Series 502, UNSP 012008 (2014)",2014/2/1 0:00,10.1088/1742-6596/502/1/012008
29,Nd-Fe-B磁石の組織形成・磁気特性に対するフェーズフィールド解析,"小山敏幸, 阿部太一, 塚田祐貴, 小林能直",,"日本学術振興会第172委員会研究報告書, vol,13, No.2, (2013),116-124.",2013/10/4 0:00,
30,フェーズフィールド法入門,"小山敏幸, 高木知弘",,"丸善, 2013",2013/4/15 0:00,
31,希少元素フリー高性能永久磁石開発への元素戦略磁性材料研究拠点の取り組み,広沢　哲,,"紛体粉末冶金協会誌「粉末および粉末冶金」第62巻, 61-66, 2015",2015/2/1 0:00,10.2497/jjspm.62.61
32,JRCMニュース4月1日号の記事,広沢哲,,"一般財団法人金属系材料研究開発センター　JRCMニュース 330号, 2014",2014/4/1 0:00,
33,Magnetism in grain-boundary phase of a NdFeB sintered magnet studied by spin-polarized scanning electron microscopy,"Teruo Kohashi, Kumi Motai, Takeshi Nishiuchi, Satoshi Hirosawa",,"Applied Physics Letters, vol.104, p.232408, 2014",2014/6/1 0:00,10.1063/1.4883487
34,Hard magnetic properties of spacer-layer-tuned NdFeBTaFe nanocomposite films,"W.B. Cui, H. Sepehri-Amin, Y.K. Takahashi, K. Hono",,Acta Materialia_84_405-412 2015,2014/11/26 0:00,10.1016/j.actamat.2014.10.008
35,NdFe12Nx hard-magnetic compound with high magnetization and anisotropy field,"Y. Hirayama, Y.K. Takahashi, S. Hirosawa, K. Hono",,Scripta Materialia 95 (2015) 70–72,2014/10/20 0:00,10.1016/j.scriptamat.2014.10.016
36,Microstructure and coercivity of nitrided Mn-Sn-based alloys,"Masashi Matsuura, Keita Isogai, Keita Shinaji, Nobuki Tezuka, Satoshi Sugimoto",,"Journal of Alloys and Compounds, 605 (2014) 208-212.",2014/4/4 0:00,10.1016/j.jallcom.2014.03.158
37,Formation of the Face-Centered Cubic (FCC)-NdOx Phase at Nd/Nd-Fe-B Interface: a First-principles Modelling,"Ying Chen, Arkapol Saengdeejing, Masashi Matsuura, Satoshi Sugimoto",,"JOM 66 (2014), 1133-1137Special issue of ""Modeling of Magnetic Materials""",2014/7/1 0:00,10.1007/s11837-014-1004-1
38,First-Principles Calculations of Crystal Field Parameters of Nd Ions Near Surfaces and Interfaces in Nd-Fe-B Magnets,"Tsuchiura.H, Yoshioka.T, Novak.P",,"IEEE TRANSACTIONS ON MAGNETICS, 巻50, 号11, 記事番号2105004, 2014",2015/3/6 0:00,10.1109/TMAG.2014.2329294
39,Addition of Co to L10-ordered FeNi films:influences on magnetic properties and ordered structures,"T. Kojima, M. Mizuguchi, T. Koganezawa, M. Ogiwara, M. Kotsugi, T. Ohtsuki, T. Y. Tashiro, K. Takanashi",,"Journal of Physics D: Applied Physics, 47, 425001 (2014)",2014/9/18 0:00,10.1088/0022-3727/47/42/425001
40,Structural and magnetic properties of FeNi thin films fabricated on amorphous substrates,"T. Y. Tashiro, M. Mizuguchi, T. Kojima, T. Koganezawa, M. Kotsugi, T. Ohtsuki, K. Takanashi",,"Journal of Applied Physics, 117, 17E309 (2015)",2015/3/6 0:00,10.1063/1.4913935
41,Energy barrier analysis of Nd-Fe-B thin films,"Goto. R, Okamoto. S, Kikuchi. N, Kitakami. O",,"Journal of Applied Physics, 巻117, 号17, 記事番号17B514, 2015",2015/3/1 0:00,10.1063/1.4913940
42,Improvement of magnetic hardness at  nite temperatures:ab initio disordered local moment approach for YCo5,"Munehisa Matsumoto, Rudra Banerjee, Julie Staunton",,"Physical Review B 90, 054421 (2014)",2014/8/26 0:00,10.1103/PhysRevB.90.054421
43,Ab initio Disordered Local Moment Approach for a Doped Rare-Earth Magnet,"Munehisa Matsumoto, Rudra Banerjee, Julie B. Staunton",,"JPS Conference Proceedings, 5,011004 (2015)",2015/2/26 0:00,10.7566/JPSCP.5.011004
44,"First-Principles Study of Structural and Magnetic Properties of R(Fe,Ti)12 and R(Fe,Ti)12N (R=Nd,Sm,Y)","Yosuke Harashima, Kiyoyuki Terakura, Hiori Kino, Shoji Ishibashi, Takashi Miyake",,"JPS Conference Proceedings, 5,011021 (2015)",2015/2/26 0:00,10.7566/JPSCP.5.011021
45,Strain effects on the magnetic anisotropy of Y2Fe14B examined by first-principles calculations,"Z. Torbatian, T. Ozaki, S. Tsuneyuki, Y. Gohda",,"APPLIED PHYSICS LETTERS, 巻104, 号‏24, 記事番号242403, 2014",2014/6/1 0:00,10.1063/1.4883840
46,Direct observation of ferromagnetism in grain boundary phase of Nd-Fe-B sintered magnet using soft x-ray magnetic circular dichroism,"T. Nakamura, A. Yasui, Y. Kotani, T. Fukagawa, T. Nishiuchi, H. Iwai, T. Akiya, T. Ohkubo, Y. Gohda, K. Hono, S. Hirosawa",,"APPLIED PHYSICS LETTERS, 巻105, 号20,  記事番号202404, 2014",2014/11/1 0:00,10.1063/1.4902329
47,Doping control of realization of an extended Nagaoka ferromagnetic state from the Mott state,"H. Onishi, S. Miyashita",,"PHYSICAL REVIEW B 90, 224426 (1-11), 2014",2014/12/1 0:00,10.1103/PhysRevB.90.224426
48,"Realization of the thermal equilibrium in inhomogeneous magnetic systems by the Landau-Lifshitz-Gilbert equation with stochastic noise, and its dynamical aspects","M. Nishino, S. Miyashita",,"PHYSICAL REVIEW B 91, 134411 (1-13), 2015",2015/3/1 0:00,10.1103/PhysRevB.91.134411
49,Optimized effective potential method and application to static RPA correlation,"T. Fukazawa, H. Akai",,J. Phys.: Condens. Matter 27 (2015) 115502 -1-10,2015/3/4 0:00,10.1088/0953-8984/27/11/115502
50,Magnetization reversal of a Nd-Cu-infiltrated Nd-Fe-B nanocrystalline magnet observed with small-angle neutron scattering,"Kotaro Saito, Tetsuro Ueno, Masao Yano, Masashi Harada, Tetsurya Shoji, Noritsugu Sakuma, Akira Manabe, Akira Kato, Uwe Keiderling, Kanta Ono",,"Journal of Applied Physics 117, 17B302 (2015)",2015/2/1 0:00,10.1063/1.4908026
