No,Title,Author,Link,PublicationMedia,PublicationDate,DOI
17,Magnetization Damping of an L10-FeNi Thin Film with Perpendicular Magnetic Anisotropy,"M.Ogiwara, S.Iihama, T.Seki, T.Kojima, S.Mizukami, M.Mizuguchi, K.Takanashi",,"Applied Physics Letters 103, 242409 (2013)　　　　　　　",2013/12/16 0:00,10.1063/1.4845035
13,次世代永久磁石材料をめざしてー磁石材料の微細構造と保磁力,宝野和博,"宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono",日本金属学会セミナーテキスト（2013年12月26日開催）,2013/12/1 0:00,
11,Enhancement of coercivity of hot-deformed Nd–Fe–B anisotropic magnet by low-temperature grain boundary diffusion of Nd60Dy20Cu20 eutectic alloy,"H.Sepehri-Amin, J.Liua, T.Ohkubo, K.Hioki, A.Hattori, K.Hono",,"Scripta Materialia, Volume 69, Issue 9, Pages 647–650, 2013",2013/11/1 0:00,10.1016/j.scriptamat.2013.07.011
29,Nd-Fe-B磁石の組織形成・磁気特性に対するフェーズフィールド解析,"小山敏幸, 阿部太一, 塚田祐貴, 小林能直",,"日本学術振興会第172委員会研究報告書, vol,13, No.2, (2013),116-124.",2013/10/4 0:00,
12,High-coercivity ultrafine-grained anisotropic Nd-Fe-B magnets processed by hot deformation and the Nd-Cu grain boundary diffusion process,"H.Sepehri-Amin, T.Ohkubo, S.Nagashima, M.Yano, T.Shoji, A.Kato, T.Schrefl, K.Hono",,"Acta Materialia, Volume 61, Issue 17, Pages 6622–6634, 2013",2013/10/1 0:00,10.1016/j.actamat.2013.07.049
6,磁気工学の解析法,三俣千春,,"共立出版, 2013",2013/9/15 0:00,
23,Crossover of the roughness exponent for interface growth in sysytems with long-range interactions due to lattice distortion,"M.Nishino, T.Nakada, C.Enachescu, K.Boukheddaden, S.Miyashita",,"Physical Review B 88,094303, 2013",2013/9/1 0:00,10.1103/PhysRevB.88.094303
9,High-coercivity Nd–Fe–B thick films without heavy rare earth additions,"N.M.Dempsey, T.G.Woodcock, H.Sepehri-Amin, Y.Zhang, H.Kennedy, D.Givord, K.Hono, O.Gutfleisch",,"Acta Materialia, Volume 61, Issue 13, Pages 4920–4927, 2013",2013/8/1 0:00,10.1016/j.actamat.2013.04.055
10,Effect of Nd content on the microstructure and coercivity of hot-deformed Nd-Fe-B permanent magnets,"J.Liu, H.Sepehri-Amin, T.Ohkubo, K.Hioki, A.Hattori, T.Schrefl, K.Hono",,"Acta Materialia, Volume 61, Issue 14, Pages 5387–5399, 2013",2013/8/1 0:00,10.1016/j.actamat.2013.05.027
21,Effect of the short-range interaction on critical phenomena in elastic interaction systems,"M.Nishino, S.Miyashita",,"Physical Review B 88,014108, 2013",2013/7/1 0:00,10.1103/PhysRevB.88.014108
22,Nonadditivity in Quasiequilibrium States of Spin Systems with Lattice Distortion,T.Mori,,"Physical Review Letters,111,020601, 2013",2013/7/1 0:00,10.1103/PhysRevLett.111.020601
5,希土類磁石の省重希土類元素ならびに省希土類元素組成化技術,広沢　哲,,"日本学術振興会第１３３委員会５０周年記念誌 1 [1] 141-146, 2013",2013/6/1 0:00,
20,Complex magnetic phase diagram of a geometrically frustrated Sm Lattice:Magnetometry and neutron diffraction study of SmPd2Al3,"J.Pospisil, G.Nenert, S.Miyashita, H.Kitazawa, Y.Skouski, M.Divis, J.Prokleska, V.Sechovsky",,"Physical Review B 87,214405, 2013",2013/6/1 0:00,10.1103/PhysRevB.87.214405
8,磁性材料拠点が目指すもの-解析・評価の役割と期待,宝野和博,"宝野和博,https://samurai.nims.go.jp/profiles/kazuhiro_hono","日本分析化学会会報「ぶんせき」2013年5月号, 278-281頁",2013/5/1 0:00,
30,フェーズフィールド法入門,"小山敏幸, 高木知弘",,"丸善, 2013",2013/4/15 0:00,
7,The mechanism of coercivity enhancement by the grain boundary diffusion process of Nd–Fe–B sintered magnets,"H.Sepehri-Amin, T.Ohkubo, K.Hono","K.Hono,https://samurai.nims.go.jp/profiles/kazuhiro_hono","Acta Materialia, Volume 61, Issue 6, Pages 1982–1990, 2013",2013/4/1 0:00,10.1016/j.actamat.2012.12.018
3,スピントロニクスの基礎　磁気の直感的理解をめざして,"宮﨑 照宣, 土浦 宏紀",,"書籍（森北出版）, 2013",2013/3/28 0:00,
